n.id,n.firstname,n.lastname,n.birthyear,n.deathyear,n.birthplace,n.deathplace,n.sex,n.numCities,n.numCountries,n.numVenues,n.country,n.collective,n.ulan,n.wikidata
"116,""""""Jean"""""",""""""Pougny"""""",1892,1956,""""""Repino"""""",""""""Paris"""""",""""""M"""""",null,null,null,""""""RU"""""",null,""""""500007558"""""",""""""Q705062"""""""
"117,""""""Ol'ga"""""",""""""Rozanova"""""",1886,1918,""""""Melenki"""""",""""""Moscow"""""",""""""F"""""",2,2,2,""""""RU"""""",null,""""""500003298"""""",""""""Q270460"""""""
"118,""""""Vladimir"""""",""""""Tatlin"""""",1885,1953,""""""Kharkov"""""",""""""Novodevichye"""""",""""""M"""""",1,1,1,""""""UA"""""",null,""""""500021874"""""",""""""Q310320"""""""
"119,""""""Nadezhda"""""",""""""Udal'tsova"""""",1886,1961,""""""Orel"""""",""""""Moscow"""""",""""""F"""""",null,null,null,""""""RU"""""",null,""""""500013783"""""",""""""Q467795"""""""
"120,""""""Mikhail Ivanovich"""""",""""""Menkov"""""",1885,1926,""""""Vilnius"""""",""""""Yalta"""""",""""""M"""""",null,null,null,""""""RU"""""",null,""""""500163343"""""",""""""Q15072345"""""""
"121,""""""Robert"""""",""""""Fa'lk"""""",1886,1958,""""""Moscow"""""",""""""Moscow"""""",""""""M"""""",2,2,2,""""""RU"""""",null,""""""500023523"""""",""""""Q662323"""""""
"122,""""""Bedřich"""""",""""""Feigl"""""",1884,1965,""""""Prague"""""",""""""London"""""",""""""M"""""",null,null,null,""""""CZ"""""",null,""""""500129587"""""",""""""Q4879485"""""""
"123,""""""Lyonel"""""",""""""Feininger"""""",1871,1956,""""""New York"""""",""""""New York"""""",""""""M"""""",1,1,1,""""""US"""""",null,""""""500115308"""""",""""""Q158255"""""""
"124,""""""Emil"""""",""""""Filla"""""",1882,1953,""""""Chropyně"""""",""""""Prague"""""",""""""M"""""",1,1,1,""""""CZ"""""",null,""""""500030233"""""",""""""Q687335"""""""
"125,""""""Pavel"""""",""""""Filonov"""""",1883,1941,""""""Moscow"""""",""""""Saint Petersburg"""""",""""""M"""""",null,null,null,""""""RU"""""",null,""""""500016882"""""",""""""Q466187"""""""
"126,""""""Bernhard Dorotheus"""""",""""""Folkestad"""""",1879,1933,""""""London"""""",""""""Christiania (Oslo)"""""",""""""M"""""",2,2,2,""""""NO"""""",null,""""""500108632"""""",""""""Q2596766"""""""
"127,""""""Artur"""""",""""""Fonvizin"""""",1883,1973,""""""Riga"""""",""""""Moscow"""""",""""""M"""""",1,1,1,""""""RU"""""",null,""""""500098492"""""",""""""Q4491633"""""""
"128,""""""Othon"""""",""""""Friesz"""""",1879,1949,""""""Le Havre"""""",""""""Paris"""""",""""""M"""""",11,8,14,""""""FR"""""",null,""""""500031339"""""",""""""Q708482"""""""
"129,""""""Roger"""""",""""""Fry"""""",1866,1934,""""""London"""""",""""""London"""""",""""""M"""""",2,2,5,""""""GB"""""",null,""""""500005106"""""",""""""Q547470"""""""
"130,""""""Akseli"""""",""""""Gallen-Kallela"""""",1865,1931,""""""Pori"""""",""""""Stockholm"""""",""""""M"""""",null,null,null,""""""FI"""""",null,""""""500015305"""""",""""""Q170068"""""""
"131,""""""Henri"""""",""""""Gaudier-Brzeska"""""",1891,1915,""""""Saint-Jean-de-Braye"""""",""""""Neuville-Saint-Vaast"""""",""""""M"""""",null,null,null,""""""FR"""""",null,""""""500115741"""""",""""""Q926308"""""""
