a.id,a.firstname,a.lastname,e.id,e.title,count(r);
"14,""""""Léon"""""",""""""Bakst"""""",179,""""""Salon d'Automne. 6e Exposition"""""",1";
"14,""""""Léon"""""",""""""Bakst"""""",194,""""""VI выставка картин Союза Русских Художников"""""",1";
"14,""""""Léon"""""",""""""Bakst"""""",195,""""""Салон 1909"""""",1";
"14,""""""Léon"""""",""""""Bakst"""""",197,""""""Союз Русских Художников"""""",1";
"14,""""""Léon"""""",""""""Bakst"""""",378,""""""Exposition des Œuvres de L. Bakst"""""",1";
"14,""""""Léon"""""",""""""Bakst"""""",672,""""""XI. Esposizione d'Arte della Città di Venezia"""""",1";
"15,""""""Giacomo"""""",""""""Balla"""""",758,""""""Салон. Интернациональная выставка картин, скульптуры, гравюры и рисунков"""""",1";
"15,""""""Giacomo"""""",""""""Balla"""""",777,""""""Prima Esposizione Pittura Futurista"""""",1";
"15,""""""Giacomo"""""",""""""Balla"""""",782,""""""Prima Esposizione di pittura futurista"""""",1";
"15,""""""Giacomo"""""",""""""Balla"""""",725,""""""The Department of Fine Arts / Panama-Pacific International Exposition"""""",1";
"15,""""""Giacomo"""""",""""""Balla"""""",747,""""""Салон. Интернациональная выстака картин, скульптуры, гравюры и рисунков"""""",1";
"15,""""""Giacomo"""""",""""""Balla"""""",757,""""""Салон. Интернациональная выставка картин, скульптуры, гравюры и графики"""""",1";
"15,""""""Giacomo"""""",""""""Balla"""""",992,""""""IX. Internationale Kunstausstellung"""""",1";
"15,""""""Giacomo"""""",""""""Balla"""""",426,""""""Les Peintres Futuristes italiens"""""",1";
"15,""""""Giacomo"""""",""""""Balla"""""",139,""""""LXXVIII. Esposizione internazionale di Belle Arti della Società Amatori e Cultori di Belle Arti in Roma"""""",1";
"15,""""""Giacomo"""""",""""""Balla"""""",1463,""""""Mostra Nazionale di Belle Arti"""""",1";
"15,""""""Giacomo"""""",""""""Balla"""""",1479,""""""Салон. Интернациональная выставка картин, скульптуры, гравюры и графики"""""",1";
"15,""""""Giacomo"""""",""""""Balla"""""",591,""""""Der Sturm. Erster Deutscher Herbstsalon"""""",1";
"15,""""""Giacomo"""""",""""""Balla"""""",607,""""""Esposizione di Pittura Futurista di \""""Lacerba\"""""""""",1";
"15,""""""Giacomo"""""",""""""Balla"""""",574,""""""Les Peintres et les Sculpteurs Futuristes Italiens"""""",1";
"15,""""""Giacomo"""""",""""""Balla"""""",639,""""""Esposizione di Pittura Futurista. Boccioni, Carrà, Russolo, Balla, Severini, Soffici"""""",1";
"15,""""""Giacomo"""""",""""""Balla"""""",662,""""""Exhibition of Works of the Italian Futurist Painters and Sculptors"""""",1";
"17,""""""Ernst"""""",""""""Barlach"""""",322,""""""Einundzwanzigste Ausstellung der Berliner Secession. Zeichnende Künste"""""",1";
"17,""""""Ernst"""""",""""""Barlach"""""",133,""""""Vierzehnte Ausstellung der Berliner Secession, Zeichnende Künste"""""",1";
"17,""""""Ernst"""""",""""""Barlach"""""",148,""""""Deutsche Kunstausstellung Bremen"""""",1";
"17,""""""Ernst"""""",""""""Barlach"""""",186,""""""Sechzehnte Ausstellung der Berliner Secession. Zeichnende Künste"""""",1";
"19,""""""Paul"""""",""""""Baum"""""",186,""""""Sechzehnte Ausstellung der Berliner Secession. Zeichnende Künste"""""",1";
"19,""""""Paul"""""",""""""Baum"""""",645,""""""Internationale Ausstellung in der Kunsthalle Bremen"""""",1";
"19,""""""Paul"""""",""""""Baum"""""",553,""""""XXVI. Ausstellung der Berliner Secession"""""",1";
"19,""""""Paul"""""",""""""Baum"""""",52,""""""Elfte Ausstellung der Berliner Secession"""""",1";
"19,""""""Paul"""""",""""""Baum"""""",1001,""""""VII. Jahrgang. Winter 1904/1905. V. Ausstellung. [Collection Jozef Israëls]"""""",1";
"19,""""""Paul"""""",""""""Baum"""""",82,""""""IX. Jahrgang. Winter 1906/1907. V. Ausstellung. [Kollektionen Paul Baum, Lovis Corinth, Georg Kolbe, Adolphe Monticelli, Edvard Munch]"""""",1";
"19,""""""Paul"""""",""""""Baum"""""",96,""""""Dreizehnte Ausstellung der Berliner Secession"""""",1";
"19,""""""Paul"""""",""""""Baum"""""",245,""""""Neunzehnte Ausstellung der Berliner Secession. Zeichnende Künste"""""",1";
"19,""""""Paul"""""",""""""Baum"""""",246,""""""Neue Künstlervereinigung München E.V., Turnus 1909-1910"""""",1";
"19,""""""Paul"""""",""""""Baum"""""",980,""""""X. Jahrgang. 1907/1908. VIII. Ausstellung. [Kollektionen von Paul Baum, Erich Hancke, Ulrich Hübner, Konrad v. Kardorff, Leo Klein-Diepold, Käthe Kollwitz, Emil Pottner, Emil Rudolf Weiss]"""""",1";
"19,""""""Paul"""""",""""""Baum"""""",148,""""""Deutsche Kunstausstellung Bremen"""""",1";
